66,58,49
64,64,54
64,61,53
67,61,54
67,61,55
67,63,54
84,65,54
65,63,56
64,61,55
66,63,57
64,63,56
68,58,53
71,59,57
66,59,66
66,57,55
66,61,54
67,60,54
71,60,51
67,61,54
66,59,54
64,69,67
56,65,54
53,65,53
55,67,53
55,63,53
55,64,51
57,58,62
70,56,65
64,0,63
65,56,62
66,85,63
59,49,58
62,49,62
60,48,59
60,49,62
62,47,60
62,50,62
56,50,59
48,56,60
52,58,61
52,56,60
50,57,63
49,60,72
60,78,53
61,36,65
69,37,55
70,38,56
68,38,55
62,37,51
65,56,54
67,41,54
68,41,55
65,39,52
62,57,56
61,70,64
51,70,67
48,72,67
51,72,72
52,70,65
51,69,64
51,59,65
59,67,66
59,68,66
57,68,67
53,70,66
58,66,65
55,68,66
58,69,67
63,55,62
65,53,60
65,56,53
62,55,55
61,56,56
65,70,51
66,56,51
65,53,64
65,52,66
63,52,62
67,54,66
66,54,64
64,53,61
65,55,67
67,54,62
63,51,66
64,54,63
64,68,57
62,50,69
64,53,67
67,53,58
58,50,59
65,53,60
69,53,61
75,53,61
65,52,59
67,0,78
68,53,61
66,57,65
68,54,66
68,53,61
65,51,60
66,50,60
68,52,60
65,52,62
57,62,52
58,61,54
56,60,53
58,61,54
57,62,53
57,61,54
56,60,53
58,66,54
56,64,51
59,63,51
57,67,53
58,65,53
56,63,54
57,62,53
57,65,53
58,64,53
59,64,53
57,66,51
58,68,51
59,64,49
59,61,48
61,63,53
68,66,59
71,67,61
69,63,67
62,67,63
67,73,67
69,87,57
70,71,65
77,76,60
64,67,61
55,67,59
70,69,55
59,61,48
55,64,51
57,77,49
57,57,48
57,81,50
61,64,53
55,45,55
69,69,69
